CV_Score,learning_rate,max_depth,n_estimators,objective,Test_Acc_Score
0.9220041578073783,1.0,2,20,multi:softprob,0.7677725118483413
0.9220041578073783,1.0,2,20,multi:softmax,0.7677725118483413
0.9325714684549109,1.0,2,40,multi:softprob,0.7938388625592417
0.9325714684549109,1.0,2,40,multi:softmax,0.7938388625592417
0.9348623771390845,1.0,2,60,multi:softprob,0.7914691943127962
0.9348623771390845,1.0,2,60,multi:softmax,0.7914691943127962
0.9366553411841041,1.0,2,80,multi:softprob,0.8033175355450237
0.9366553411841041,1.0,2,80,multi:softmax,0.8033175355450237
0.9429786686793739,1.0,4,20,multi:softprob,0.8151658767772512
0.9429786686793739,1.0,4,20,multi:softmax,0.8151658767772512
0.9491368403082054,1.0,4,40,multi:softprob,0.8175355450236966
0.9491368403082054,1.0,4,40,multi:softmax,0.8175355450236966
0.9502468730570037,1.0,4,60,multi:softprob,0.8127962085308057
0.9502468730570037,1.0,4,60,multi:softmax,0.8127962085308057
0.9512035408739073,1.0,4,80,multi:softprob,0.8127962085308057
0.9512035408739073,1.0,4,80,multi:softmax,0.8127962085308057
0.9516132656126322,1.0,6,20,multi:softprob,0.8388625592417062
0.9516132656126322,1.0,6,20,multi:softmax,0.8388625592417062
0.9541204047424211,1.0,6,40,multi:softprob,0.8483412322274881
0.9541204047424211,1.0,6,40,multi:softmax,0.8483412322274881
0.9550637071368188,1.0,6,60,multi:softprob,0.8507109004739336
0.9550637071368188,1.0,6,60,multi:softmax,0.8507109004739336
0.9552647406301931,1.0,6,80,multi:softprob,0.8436018957345972
0.9552647406301931,1.0,6,80,multi:softmax,0.8436018957345972
0.953687403958573,1.0,8,20,multi:softprob,0.8388625592417062
0.953687403958573,1.0,8,20,multi:softmax,0.8388625592417062
0.9554036303603406,1.0,8,40,multi:softprob,0.8483412322274881
0.9554036303603406,1.0,8,40,multi:softmax,0.8483412322274881
0.9553392403959388,1.0,8,60,multi:softprob,0.8483412322274881
0.9553392403959388,1.0,8,60,multi:softmax,0.8483412322274881
0.9555987070420878,1.0,8,80,multi:softprob,0.8507109004739336
0.9555987070420878,1.0,8,80,multi:softmax,0.8507109004739336
0.8344068600259943,0.01,2,20,multi:softprob,0.5165876777251185
0.8344068600259943,0.01,2,20,multi:softmax,0.5165876777251185
0.84581222797843,0.01,2,40,multi:softprob,0.5260663507109005
0.84581222797843,0.01,2,40,multi:softmax,0.5260663507109005
0.8517808015791088,0.01,2,60,multi:softprob,0.5521327014218009
0.8517808015791088,0.01,2,60,multi:softmax,0.5521327014218009
0.8556892873452128,0.01,2,80,multi:softprob,0.566350710900474
0.8556892873452128,0.01,2,80,multi:softmax,0.566350710900474
0.8739378374686657,0.01,4,20,multi:softprob,0.6445497630331753
0.8739378374686657,0.01,4,20,multi:softmax,0.6445497630331753
0.8781084654666336,0.01,4,40,multi:softprob,0.6540284360189573
0.8781084654666336,0.01,4,40,multi:softmax,0.6540284360189573
0.8825170525565934,0.01,4,60,multi:softprob,0.6611374407582938
0.8825170525565934,0.01,4,60,multi:softmax,0.6611374407582938
0.8864916539904891,0.01,4,80,multi:softprob,0.6611374407582938
0.8864916539904891,0.01,4,80,multi:softmax,0.6611374407582938
0.8935908674765495,0.01,6,20,multi:softprob,0.7156398104265402
0.8935923769193259,0.01,6,20,multi:softmax,0.7156398104265402
0.8995184358738104,0.01,6,40,multi:softprob,0.7156398104265402
0.8995184358738104,0.01,6,40,multi:softmax,0.7156398104265402
0.901859762933368,0.01,6,60,multi:softprob,0.7298578199052133
0.901859762933368,0.01,6,60,multi:softmax,0.7298578199052133
0.9048595736469333,0.01,6,80,multi:softprob,0.7345971563981043
0.9048595736469333,0.01,6,80,multi:softmax,0.7345971563981043
0.9048392621474335,0.01,8,20,multi:softprob,0.7511848341232228
0.9048392621474335,0.01,8,20,multi:softmax,0.7511848341232228
0.9107430476010479,0.01,8,40,multi:softprob,0.7677725118483413
0.9107430476010479,0.01,8,40,multi:softmax,0.7677725118483413
0.914143921176553,0.01,8,60,multi:softprob,0.7819905213270142
0.914143921176553,0.01,8,60,multi:softmax,0.7819905213270142
0.9155917065277945,0.01,8,80,multi:softprob,0.7867298578199052
0.9155917065277945,0.01,8,80,multi:softmax,0.7867298578199052
0.8717304089289059,0.1,2,20,multi:softprob,0.6279620853080569
0.8717304089289059,0.1,2,20,multi:softmax,0.6279620853080569
0.8876547288506483,0.1,2,40,multi:softprob,0.6635071090047393
0.8876547288506483,0.1,2,40,multi:softmax,0.6635071090047393
0.8973197931842734,0.1,2,60,multi:softprob,0.6729857819905213
0.8973197931842734,0.1,2,60,multi:softmax,0.6729857819905213
0.9032973781236393,0.1,2,80,multi:softprob,0.6753554502369669
0.9032973781236393,0.1,2,80,multi:softmax,0.6753554502369669
0.9041855024747913,0.1,4,20,multi:softprob,0.7156398104265402
0.9041855024747913,0.1,4,20,multi:softmax,0.7156398104265402
0.91700830961799,0.1,4,40,multi:softprob,0.7393364928909952
0.91700830961799,0.1,4,40,multi:softmax,0.7393364928909952
0.9268547346220972,0.1,4,60,multi:softprob,0.7725118483412322
0.9268547346220972,0.1,4,60,multi:softmax,0.7725118483412322
0.9309919289397888,0.1,4,80,multi:softprob,0.8056872037914692
0.9309919289397888,0.1,4,80,multi:softmax,0.8056872037914692
0.9175448409419797,0.1,6,20,multi:softprob,0.7511848341232228
0.9175448409419797,0.1,6,20,multi:softmax,0.7511848341232228
0.931902805895594,0.1,6,40,multi:softprob,0.7962085308056872
0.931902805895594,0.1,6,40,multi:softmax,0.7962085308056872
0.9381360145760537,0.1,6,60,multi:softprob,0.8317535545023697
0.9381360145760537,0.1,6,60,multi:softmax,0.8317535545023697
0.9425485388631873,0.1,6,80,multi:softprob,0.8270142180094787
0.9425485388631873,0.1,6,80,multi:softmax,0.8270142180094787
0.9266695697547552,0.1,8,20,multi:softprob,0.8009478672985783
0.9266695697547552,0.1,8,20,multi:softmax,0.8009478672985783
0.9423259577893932,0.1,8,40,multi:softprob,0.8175355450236966
0.9423259577893932,0.1,8,40,multi:softmax,0.8175355450236966
0.9469298199774331,0.1,8,60,multi:softprob,0.8412322274881516
0.9469298199774331,0.1,8,60,multi:softmax,0.8412322274881516
0.9505201370136172,0.1,8,80,multi:softprob,0.8364928909952607
0.9505201370136172,0.1,8,80,multi:softmax,0.8364928909952607
